id;q1;q2;q3;q4;q5
0;14.76325363;18.30748495;2.844418896;15.89171557;13.7972439
1;19.80340322;8.804047977;15.87689208;19.77718012;8.041377428
2;11.09363558;15.60498289;8.823960271;16.57249059;9.206144975
3;1.102275256;13.48366079;10.94926247;18.5996653;13.31860917
4;2.188356568;4.263041296;2.461525168;17.85173008;9.606601118
5;5.846327222;15.15323645;14.88939352;19.48369361;7.41974165
6;12.29667653;14.17624741;1.136875974;15.17903177;19.81606072
7;11.23743988;7.324035561;7.627487747;8.264580081;19.48107125
8;2.663391238;5.237305249;2.702645126;1.179914311;2.560931184
9;1.892373501;17.45763052;14.61593337;1.452259104;9.453472955
10;10.32931909;11.4055126;0.879153998;13.67751044;17.61599386
11;12.99481924;15.8000142;7.691010779;15.7013495;3.367414232
12;2.904612992;10.67494446;14.0142216;18.46266303;6.931886725
13;1.533229728;15.8907059;8.100075137;7.387176431;0.254597702
14;11.95137297;14.55661729;3.596548684;7.694491026;3.567551517
15;2.056852396;16.05575498;10.34127832;7.309334023;7.511501307
16;18.19383509;16.06098301;14.93153871;4.803888129;15.13074221
17;4.190985535;18.96064023;3.392242413;5.829359354;17.54867922
18;17.83365355;18.16978936;8.177663414;15.3047307;16.64225778
19;11.5068936;11.72462897;16.83786821;1.496043348;14.68512888
20;4.172763886;5.363976239;16.30975646;2.693097194;9.867095581
21;6.845266587;0.645959063;11.46334618;9.978164688;12.01446247
22;18.10157745;17.26630002;19.8324721;6.990508943;10.90491412
23;17.94047314;19.7599152;6.577597454;15.90503969;3.472529424
24;17.30172922;2.839941907;8.745093166;15.78169274;15.18519391
25;17.23929945;14.72950839;7.679025258;4.008648397;9.638965256
26;7.647169575;15.39825778;11.09946416;3.789801789;13.35702748
27;17.58183096;7.358385252;4.177496402;12.73083717;7.746205177
28;18.51372217;7.896194735;12.39595664;8.375389385;8.972819591
29;2.135142089;15.63686232;9.486386081;4.472927249;6.968449535
30;3.756150714;13.11608977;9.412621846;14.17361795;15.35585863
31;7.42530136;9.937787467;12.04334683;3.256908047;15.36355589
32;5.813674154;12.78589168;14.49023622;2.676771149;9.002490685
33;15.74431978;1.727574312;11.28908021;18.3918593;6.544607956
34;18.23014915;8.780586096;9.754012507;18.70239432;2.689480711
35;11.17154444;16.59405373;17.21065247;18.76753822;4.091331503
36;10.84583964;16.49458483;18.40758259;1.819222012;6.924778045
37;8.948292125;16.83058786;5.053031605;14.87935999;1.276309374
38;9.534560161;4.975132282;19.12769685;17.86902801;7.135032196
39;17.18573329;9.080227897;7.465909886;1.794400353;16.42049759
40;10.25325684;19.0308591;4.845147535;15.95412796;8.744958533
41;2.404872434;15.45414697;18.47986938;7.25904832;14.97641026
42;0.435346747;15.36261705;5.640450035;4.023765937;10.27148319
43;3.56464206;6.23100635;19.09303159;2.255901444;9.361919105
44;6.777671503;11.60474355;7.706687552;6.334473922;11.4965337
45;11.49779332;9.728589547;2.039924922;14.38337285;0.138295752
46;10.2297269;16.56508036;2.674127605;11.68446345;2.378310888
47;13.49464861;16.54287139;7.324459546;3.072983839;16.07325989
48;4.82498196;4.660402788;11.13669011;4.315903846;12.61993781
49;6.547262812;16.97711981;14.87589152;0.696673416;10.59282221
50;8.628855113;3.339839362;2.348468356;1.285642442;16.74808303
51;10.57196635;9.454512831;12.39934945;13.50457233;8.056210773
52;6.587055674;7.995407329;14.14030479;18.50892507;8.612433509
53;17.55040138;1.156364476;14.08464583;8.934488334;0.788179767
54;8.915232;6.986226471;6.462191636;9.18818685;8.924595495
55;4.466064459;14.50470124;0.037475024;10.31274572;5.13373903
56;19.98095521;14.70382589;13.35042205;4.299188556;12.76505659
57;1.183600385;1.940617093;3.934020352;5.451758113;5.707369499
58;2.531421679;12.73271024;18.85766378;7.189006086;14.67252853
59;13.5896431;3.064998955;6.725867449;3.262627972;19.86301172
60;19.9533455;1.689284562;18.05420902;6.657701271;4.395783939
61;12.96135654;18.87393352;7.276142847;18.9294122;11.58272319
62;6.18148575;14.14615596;13.85119761;0.339832928;2.186151286
63;9.038317309;0.514758896;13.96564623;15.64966217;17.41969371
64;15.4217864;6.444289324;12.08530541;12.32218183;11.72708521
65;18.35986281;3.3871273;6.817660242;10.92522299;7.470669609
66;10.80712943;6.695698014;0.303902468;4.60302496;13.40972657
67;10.6507377;18.00375651;5.75331663;8.083236691;6.141225344
68;18.42654087;13.79038768;17.8196727;11.36861835;16.59150909
69;1.375663015;18.80553915;3.35856482;11.48331292;18.67353304
70;16.85951335;11.40414818;0.276479356;10.59359104;7.939422452
71;2.741766318;9.237543863;9.550329006;16.76732216;19.37547054
72;9.063191515;16.64793348;17.52394365;6.657733263;7.692210184
73;5.009771375;5.971847471;2.602872685;14.54461909;8.427850659
74;2.249519181;16.61888652;14.6683452;6.591243828;13.55297291
75;10.12844621;19.60909642;13.52582974;12.24804547;18.77290687
76;18.93912225;3.556506695;6.176162252;0.916305004;17.66013869
77;9.634063083;1.205921532;5.695638595;4.048149091;19.19738378
78;13.49038767;16.82386408;1.135551277;6.093046511;7.177761189
79;6.905241937;0.367082571;6.482719087;13.68935725;17.46989942
80;19.32219432;13.51633728;10.50218778;7.729205653;12.92991975
81;4.896521827;11.34287114;8.023069249;16.2396881;13.93877298
82;12.95145983;15.89958153;3.982948727;8.119319155;0.320374397
83;9.530432018;4.130062177;13.39053354;9.701621965;14.85039429
84;14.48018102;19.62586705;11.51328434;11.2283314;18.49547294
85;15.94663642;2.752847968;18.90103345;10.69799576;18.48928378
86;1.966807587;11.80405758;2.076946369;3.619118773;6.795603035
87;15.40418596;10.9860832;10.99491829;0.48147838;4.513189188
88;7.784155038;4.564396601;12.15467301;9.348039868;15.2495805
89;10.31840894;2.961552595;10.9736914;17.70337521;18.16621312
90;10.45605605;19.47610319;10.91753853;13.32738883;19.02652943
91;3.467362803;19.16623568;14.88561384;8.057521053;3.183762908
92;3.032395668;19.28790908;4.098841558;16.1674314;8.626270953
93;1.35984073;9.108747849;7.013359974;17.5502943;6.396110304
